name,id,lat,lon,capacity,number,Blackfriars_lat,Blackfriars_lon,Cannon Street_lat,Cannon Street_lon,Charing Cross_lat,Charing Cross_lon,Euston_lat,Euston_lon,Fenchurch Street_lat,Fenchurch Street_lon,King's Cross_lat,King's Cross_lon,Liverpool Street_lat,Liverpool Street_lon,London Bridge_lat,London Bridge_lon,Marylebone_lat,Marylebone_lon,Paddington_lat,Paddington_lon,Victoria_lat,Victoria_lon,Waterloo_lat,Waterloo_lon,St Pancras_lat,St Pancras_lon
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,26,9,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,21,22,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,25,12,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,27,20,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087,30,15,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Drummond Street , Euston",20,51.527326,-0.13605286,28,12,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212,26,9,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Northington Street , Holborn",22,51.5222641,-0.114079481,19,11,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Red Lion Square, Holborn",23,51.51943538,-0.119123345,16,9,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"British Museum, Bloomsbury",24,51.51908011,-0.124678402,35,18,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
