name,id,lat,lon,capacity,number,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Are,Shape__Len,LSOA Code,LSOA Name,Mid-2020 population,Area Sq Km,People per Sq Km
"Hereford Road, Bayswater",29,51.513735,-0.193487,22,51.0,POINT (-0.193487 51.513735),5324,5325,E01004654,Westminster 014B,21266,7,305558.921722412,3102.98962148379,E01004654,Westminster 014B,2902,0.12,24552
"Windsor Terrace, Hoxton",30,51.52915444,-0.093421615,24,53.0,POINT (-0.093421615 51.52915444),2626,2627,E01001779,Hackney 026A,7718,3,361182.711673737,3461.1143163628,E01001779,Hackney 026A,3409,0.14,24596
"Fanshaw Street, Hoxton",31,51.52953709,-0.083353323,36,47.0,POINT (-0.08335332300000001 51.52953709),2627,2628,E01001780,Hackney 027D,4965,2,281902.315509796,3379.70114288471,E01001780,Hackney 027D,1900,0.11,17320
"Leonard Circus , Shoreditch",32,51.52469624,-0.084439283,43,43.0,POINT (-0.084439283 51.52469624),31784,31785,E01033708,Hackney 027G,14243,5,917923.22769165,5911.8229212978,E01033708,Hackney 027G,2424,0.36,6784
"Pancras Road, King's Cross",34,51.5341235,-0.129386874,16,24.0,POINT (-0.129386874 51.5341235),935,936,E01000953,Camden 022B,5146,2,1553307.42274475,7662.67803533461,E01000953,Camden 022B,4189,0.6,6945
"De Vere Gardens, Kensington",36,51.50173726,-0.184980612,28,45.0,POINT (-0.184980612 51.50173726),1831,1832,E01002891,Kensington and Chelsea 010D,25103,8,255333.842514038,2330.86311335568,E01002891,Kensington and Chelsea 010D,1462,0.1,14798
"Penywern Road, Earl's Court",37,51.49159394,-0.192369256,17,70.0,POINT (-0.192369256 51.49159394),1789,1790,E01002849,Kensington and Chelsea 017B,16808,6,167026.60005188,2498.78970951147,E01002849,Kensington and Chelsea 017B,1602,0.06,24684
"Abingdon Villas, Kensington",38,51.4973875,-0.197245586,17,34.0,POINT (-0.197245586 51.4973875),1753,1754,E01002813,Kensington and Chelsea 011A,24398,8,282701.577575684,3496.7673506494,E01002813,Kensington and Chelsea 011A,1632,0.11,14743
"Shoreditch High Street, Shoreditch",39,51.5263778,-0.078130921,41,91.0,POINT (-0.07813092100000001 51.5263778),31782,31783,E01033706,Hackney 027F,6887,3,344024.600292206,5097.16981129396,E01033706,Hackney 027F,1800,0.14,13333
"Commercial Street, Shoreditch",40,51.52127071,-0.0755789,16,32.0,POINT (-0.0755789 51.52127071),4983,4984,E01004307,Tower Hamlets 015B,19910,7,546235.005001068,4599.93851190285,E01004307,Tower Hamlets 015B,3646,0.21,16990
"Pindar Street, Liverpool Street",41,51.520955,-0.083493552,24,1.0,POINT (-0.083493552 51.520955),31784,31785,E01033708,Hackney 027G,14243,5,917923.22769165,5911.8229212978,E01033708,Hackney 027G,2424,0.36,6784
"Wenlock Road , Hoxton",42,51.53099181,-0.093903825,28,45.0,POINT (-0.093903825 51.53099181),2626,2627,E01001779,Hackney 026A,7718,3,361182.711673737,3461.1143163628,E01001779,Hackney 026A,3409,0.14,24596
"Crawford Street, Marylebone",43,51.52026,-0.157183945,18,46.0,POINT (-0.157183945 51.52026),5375,5376,E01004712,Westminster 008C,23263,8,256587.038696289,3200.34482623284,E01004712,Westminster 008C,2377,0.1,23675
"Bruton Street, Mayfair",44,51.51073687,-0.144165239,21,17.0,POINT (-0.144165239 51.51073687),31671,31672,E01033595,Westminster 013E,16446,6,1329157.0711441,10920.308563619,E01033595,Westminster 013E,1508,0.51,2938
"Boston Place, Marylebone",45,51.522511,-0.162298,26,17.0,POINT (-0.162298 51.522511),5328,5329,E01004659,Westminster 008A,27574,9,290577.310600281,2418.9177692356,E01004659,Westminster 008A,2338,0.11,20491
"Nesham Street, Wapping",46,51.507131,-0.06691,16,34.0,POINT (-0.06691 51.507131),4970,4971,E01004293,Tower Hamlets 027B,26059,8,841952.41059494,5728.91726490858,E01004293,Tower Hamlets 027B,2403,0.33,7364
"Warwick Avenue Station, Maida Vale",47,51.52334476,-0.183846408,19,74.0,POINT (-0.183846408 51.52334476),5367,5368,E01004703,Westminster 007B,23871,8,535134.098236084,3788.62579760912,E01004703,Westminster 007B,2890,0.21,13908
"Godliman Street, St. Paul's",48,51.51248445,-0.099141408,25,22.0,POINT (-0.099141408 51.51248445),32592,32593,E01032739,City of London 001F,20391,7,4277196.94448853,11949.5288116141,E01032739,City of London 001F,1688,1.65,1021
"Curzon Street, Mayfair",49,51.50706909,-0.145904427,16,22.0,POINT (-0.145904427 51.50706909),5422,5423,E01004761,Westminster 018D,26464,9,1338865.20498657,8964.75189306137,E01004761,Westminster 018D,2356,0.52,4530
