name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density,intercept_95,min_rail_distance_95,min_park_distance_95,min_pier_distance_95,population_density_95,localR2
"River Street , Clerkenwell",1,51.52916347,-0.109970527,34.0,Kings Cross_diatance,990.0,Lincoln's Inn Fields South_distance,1564.0,Blackfriars Pier_diatance,2154.0,13116.0,0.0,0.0,0.0,0.0,0.0,0.1191151305436519
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,39.0,Paddington_diatance,2415.0,Holland Park Duchess of Bedford_diatance,386.0,Cadogan Pier_diatance,2854.0,12893.0,0.0,0.0,0.0,0.0,0.0,0.29191524947436304
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,4.0,Liverpool Street_diatance,362.0,Lincoln's Inn Fields South_distance,2273.0,London Bridge City Pier_diatance,1596.0,6784.0,0.0,0.0,0.0,0.0,0.0,0.04769453081263027
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,6.0,Kings Cross_diatance,306.0,Lincoln's Inn Fields West_distance,1584.0,Embankment Pier_diatance,2567.0,26642.0,0.0,0.0,0.0,0.0,0.0,0.10532609517275389
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,17.0,Euston_diatance,1356.0,The Regent's Park St. Andrew's Gate_distance,813.0,Embankment Pier_diatance,2011.0,10022.0,0.0,0.0,0.0,0.0,0.0,-0.7018523662352448
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,22.0,Marylebone_diatance,1294.0,The Regent's Park Monkey Gate_distance,646.0,Embankment Pier_diatance,4437.0,5024.0,0.0,0.0,0.0,0.0,0.0,0.43655619910744614
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,16.0,Paddington_diatance,1490.0,The Regent's Park Hanover Gate_distance,1245.0,Embankment Pier_diatance,4996.0,21137.0,0.0,2.3988751645798634,0.0,0.0,0.0,0.40470490548286553
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,24.0,Cannon Street_diatance,472.0,Geraldine Mary Harmsworth Park North_diatance,1413.0,Bankside Pier_diatance,156.0,9531.0,0.0,0.0,0.0,0.0,0.0,0.18455102514060517
"Park Street, Bankside",10,51.50597426,-0.092754157,21.0,Cannon Street_diatance,471.0,Geraldine Mary Harmsworth Park East_diatance,1439.0,Bankside Pier_diatance,418.0,9531.0,0.0,0.0,0.0,0.0,0.0,0.1692688153405306
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,13.0,St Pancras_diatance,865.0,Lincoln's Inn Fields West_distance,945.0,Embankment Pier_diatance,1889.0,30478.0,0.0,0.0,0.0,0.0,0.0,0.1776431365867456
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,28.0,Euston_diatance,830.0,Lincoln's Inn Fields West_distance,1074.0,Embankment Pier_diatance,1752.0,12381.0,0.0,0.0,0.0,0.0,0.0,0.2007193005368316
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,5.0,Euston_diatance,983.0,The Regent's Park St. Andrew's Gate_distance,913.0,Embankment Pier_diatance,1762.0,19918.0,0.0,0.0,0.0,0.0,0.0,0.14969170290022574
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,46.0,St Pancras_diatance,236.0,The Regent's Park Chester Gate_distance,1565.0,Embankment Pier_diatance,2559.0,20725.0,0.0,0.0,0.0,0.0,0.0,0.12410410960098384
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,9.0,Charing Cross_diatance,1184.0,Lincoln's Inn Fields West_distance,713.0,Embankment Pier_diatance,1278.0,5482.0,0.0,0.0,0.0,0.0,0.0,0.45104393293152795
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,22.0,St Pancras_diatance,561.0,Lincoln's Inn Fields West_distance,1285.0,Embankment Pier_diatance,2179.0,17800.0,0.0,0.0,0.0,0.0,0.0,0.14248774135232495
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,12.0,Blackfriars_diatance,1193.0,Lincoln's Inn Fields South_distance,833.0,Blackfriars Pier_diatance,1349.0,17909.0,0.0,0.0,0.0,0.0,0.0,0.2447070234754189
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,20.0,Charing Cross_diatance,811.0,Lincoln's Inn Fields West_distance,322.0,Embankment Pier_diatance,869.0,14982.0,0.0,0.0,0.0,0.0,0.0,0.7196200249259591
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087,15.0,Euston_diatance,467.0,The Regent's Park St. Andrew's Gate_distance,1022.0,Embankment Pier_diatance,2122.0,17263.0,0.0,0.0,0.0,0.0,0.0,0.1521688492569531
"Drummond Street , Euston",20,51.527326,-0.13605286,12.0,Euston_diatance,187.0,The Regent's Park Chester Gate_distance,685.0,Embankment Pier_diatance,2481.0,6943.0,0.0,0.0,0.0,0.0,0.0,0.1845691555754711
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212,9.0,Liverpool Street_diatance,2715.0,Victoria Park St Agnes Gate_diatance,884.0,Tower Millennium Pier_diatance,3788.0,17789.0,0.0,0.0,0.0,0.0,0.0,0.2896257264672951
"Northington Street , Holborn",22,51.5222641,-0.114079481,11.0,Kings Cross_diatance,1295.0,Lincoln's Inn Fields South_distance,750.0,Blackfriars Pier_diatance,1582.0,17644.0,0.0,0.0,0.0,0.0,0.0,0.2011726989950392
"Red Lion Square, Holborn",23,51.51943538,-0.119123345,9.0,Charing Cross_diatance,1355.0,Lincoln's Inn Fields West_distance,397.0,Festival Pier_diatance,1386.0,5611.0,0.0,0.0,0.0,0.0,0.0,0.3502893115923466
