name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"Hinde Street, Marylebone",-0.151926305,51.51681444,-0.126653849,-0.333439154,-0.037424459,-0.089229391,0.701299803,0.091749887,1.16E-05,-1.027570387,0,-1.064319736,1.039737867,0,0.423151258,0.662760654,0.483731799,0.482141334,0.224030668,-2.428376062,0,-2.200226938,2.156500167,0,0.015389419,0.169932292,0.028080321,0.031346522,0.105941157,22.69569112
"Crawford Street, Marylebone",-0.157183945,51.52026,-0.156079611,-0.240663263,-0.380079115,0.223999504,0.6614923,0.132314842,0.000115525,-1.186876978,0,-1.273185097,0,0,0.461110331,0.671814913,0.495357021,0.508908972,0.196884197,-2.573954425,0,-2.570237313,0,0,0.010235962,0.289675197,0.010345513,0.10191303,0.130809232,23.03135915
"Ladbroke Grove Central, Ladbroke Grove",-0.205921,51.511624,-0.30320842,-0.577313435,0.118378021,-0.421586441,0.417948609,0.128384139,0.00039349,0,0,0,0,0,1.456465443,0.253244943,0.554882664,0.670472538,0.21055874,0,0,0,0,0,0.11001573,0.085809405,0.085042911,0.07176664,0.149329578,24.0744018
"Harriet Street, Knightsbridge",-0.15934065,51.50024195,0.152890888,-0.065480759,2.026051716,-1.873160828,0.297349678,0.128100805,0.007745835,0,0,0,2.743860795,0,0.667733711,0.326253149,0.791871894,0.825666545,0.328021577,0,0,0,3.323206942,0,0.704070279,0.188927529,0.257195184,0.000930956,0.150579658,17.83118724
"Park Road (Baker Street), The Regent's Park",-0.158963647,51.52451738,1.403485764,0.961299353,0.964140504,0.43934526,0.651820573,0.383612741,0.002553268,0,0,0,0,0,0.602009528,0.530036287,0.547198734,0.260628344,0.173125695,0,0,0,0,0,0.081642159,0.58481314,0.100181964,0.652490748,0.153846635,18.94635374
"Paddington Street, Marylebone",-0.154701411,51.52058381,-0.214931135,-0.295065119,-0.281509573,0.066578439,0.647757547,0.138039662,1.08E-05,-1.023265653,0,-1.107870021,0,0,0.409133306,0.656600083,0.494480682,0.508536471,0.195767886,-2.501056836,0,-2.240471793,0,0,0.01258424,0.357253706,0.025338228,0.15898473,0.15656048,23.01789378
"Warwick Avenue Station, Maida Vale",-0.183846408,51.52334476,0.108752245,-0.096194276,-0.372035288,0.480787533,0.429584036,0.270701703,0.001541295,0,0.733020426,0,0,0,1.190820346,0.346827275,0.441040556,0.511094458,0.136105415,0,2.113502827,0,0,0,0.238786063,0.03487148,0.424542428,0.295837079,0.158592164,22.5052927
"Devons Road, Bow",-0.015578,51.52512,0.02047496,0.017815967,0.326119264,-0.305644305,0.414973362,0.177725317,0.000321697,1.382986603,-1.411219382,-0.575591031,0,0,0.581938093,0.396656156,0.23869486,0.399134779,0.153336983,2.376518429,-3.557790191,-2.411409413,0,0,0.017714872,0.000396349,0.016118757,0.176326643,0.161201863,20.99462864
"Dorset Square, Marylebone",-0.161113413,51.5225965,0.064613602,-0.050904172,0.022583602,0.042030001,0.567724555,0.199072164,7.18E-06,0,0,0,0,0,0.585470964,0.501157559,0.516163491,0.288402414,0.156514428,0,0,0,0,0,0.109906268,0.962388616,0.067443217,0.500726547,0.161523357,22.44258651
"Westminster University, Marylebone",-0.154907218,51.52248185,-0.023663683,-0.14698332,0.025826858,-0.049490541,0.602563742,0.186735077,9.06E-06,-1.010172214,0,0,0,0,0.439860655,0.646544249,0.543490975,0.423143678,0.190913524,-2.296573249,0,0,0,0,0.02190464,0.790626858,0.068011559,0.339745915,0.173727351,20.9142693
