name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"Park Lane , Hyde Park",-0.157275636,51.5100172,4.700837381,4.395863504,3.26570264,1.435134742,0.478601274,0.424309636,0.035814085,-3.815208141,0,-2.079295087,2.555147664,-1.877283866,0.489882236,0.604304376,0.43387114,0.495292163,0.313219834,-7.788010797,0,-4.792425434,5.15886956,-5.993502525,2.14E-14,0.630165706,1.97E-06,3.15E-07,3.12E-09,20.39994677
"Stanhope Gate, Mayfair",-0.150666888,51.50686435,-0.469209125,-0.615690444,-0.553059133,0.083850008,0.375435153,0.155901483,2.09E-05,-3.950423433,-1.577169984,-1.148342631,3.589597077,-2.648222085,0.555145733,0.517382905,0.473090174,0.543391173,0.44297319,-7.116011524,-3.048361221,-2.427322937,6.605917168,-5.978289757,2.50E-12,0.002377843,0.015433827,7.27E-11,3.42E-09,20.53215329
"Upper Grosvenor Street, Mayfair",-0.155757901,51.51013066,-0.403488195,-0.61483797,0.809690234,-1.213178429,0.473095728,0.2619056,0.009610232,-3.814854167,0,-1.907039008,2.691797596,-2.012056681,0.500637309,0.610227033,0.431779447,0.525023917,0.341619146,-7.619995757,0,-4.416697047,5.126999952,-5.889765566,7.29E-14,0.521068625,1.14E-05,3.71E-07,5.72E-09,20.9615931
"Park Lane, Mayfair",-0.150817316,51.50542628,-0.326813776,-0.529938256,1.432301644,-1.759115421,0.351606808,0.073861705,0.003619261,-3.317480888,-1.867431939,-1.199231406,3.231149019,-1.955011718,0.515601393,0.489514151,0.473620796,0.511048884,0.339380165,-6.434196912,-3.814868144,-2.532049724,6.322583066,-5.76053617,2.15E-10,0.000146916,0.011532975,4.30E-10,1.20E-08,20.81051531
"South Audley Street, Mayfair",-0.151296092,51.50923022,-0.556837032,-0.698495792,-0.667418872,0.11058184,0.429934887,0.148185489,3.39E-05,-3.411917119,0,-1.393011548,2.507782525,-2.079863988,0.478709139,0.567532489,0.428536492,0.484313774,0.392268884,-7.12732815,0,-3.250625268,5.178011982,-5.302138598,2.31E-12,0.131901251,0.001200421,2.85E-07,1.49E-07,22.30479866
"Triangle Car Park, Hyde Park",-0.170279555,51.50645179,4.492721103,4.181309218,2.536120054,1.956601048,0.532045642,0.235561789,0.02095985,-2.917117366,-0.978991569,-2.580451243,0,-0.981018608,0.533758838,0.473983097,0.485761698,0.476893626,0.199108623,-5.465234786,-2.065456714,-5.312175198,0,-4.927052351,6.21E-08,0.039206273,1.41E-07,0.323406612,1.02E-06,12.0001693
"Serpentine Car Park, Hyde Park",-0.17306032,51.505014,2.532046686,2.223856495,2.210559175,0.321487511,0.584766413,0.198572369,0.000433992,-1.49917022,0,-1.364557691,0,-0.849161272,0.460930905,0.38595171,0.491026071,0.421896137,0.191384836,-3.252483623,0,-2.778992342,0,-4.436930786,0.001192704,0.062770273,0.005582598,0.076543508,1.04E-05,13.87427404
"Hyde Park Corner, Hyde Park",-0.153520935,51.50311799,8.753628075,8.540817608,1.877983812,6.875644263,0.318459514,0.104482093,0.083653409,-1.886220814,-1.697735617,0,3.060947866,-1.242270473,0.517525294,0.482530185,0.560445604,0.628848609,0.280784186,-3.644692995,-3.518402929,0,4.867543353,-4.424289305,0.00028527,0.00045903,0.205205101,1.37E-06,1.10E-05,19.13785816
"Black Lion Gate, Kensington Gardens",-0.187842717,51.50990837,6.354814124,6.026063945,2.85423131,3.500582814,0.546288003,0.410178897,0.196235215,-5.917867258,0,-3.711938488,2.244718754,-0.761657286,1.290657611,0.281722672,0.686036769,0.579806887,0.178376167,-4.585156594,0,-5.410699038,3.871493777,-4.269949852,5.27E-06,0.754525961,8.33E-08,0.000117133,2.19E-05,19.13485873
"Green Street, Mayfair",-0.157436972,51.51227622,0.604232734,0.374148682,1.432544383,-0.828311648,0.576257572,0.203316396,0.002985051,-2.832174222,0,-1.822871826,2.159845405,-1.198043251,0.496381921,0.649411876,0.447800713,0.523944379,0.283722943,-5.705635324,0,-4.070721132,4.122279939,-4.222581498,1.64E-08,0.470220446,5.16E-05,4.15E-05,2.70E-05,20.06964998
