name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"Paddington Street, Marylebone",56,51.52058381,-0.154701411,38.0,Marylebone_diatance,639.0,The Regent's Park York Gate_distance,461.0,Embankment Pier_diatance,2760.0,23675.0
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614,28.0,St Pancras_diatance,984.0,Lincoln's Inn Fields West_distance,839.0,Embankment Pier_diatance,1822.0,23833.0
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081,37.0,Liverpool Street_diatance,695.0,Victoria Park Bonner Gate_diatance,2334.0,Tower Millennium Pier_diatance,1919.0,6784.0
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727,20.0,Marylebone_diatance,737.0,The Regent's Park Hanover Gate_distance,502.0,Embankment Pier_diatance,4132.0,27036.0
"Great Dover Street, The Borough",61,51.49738251,-0.089446947,84.0,London Bridge_diatance,930.0,Geraldine Mary Harmsworth Park East_diatance,1159.0,London Bridge City Pier_diatance,1112.0,36858.0
"Cotton Garden Estate, Kennington",62,51.4907579,-0.106323685,34.0,Vauxhall_diatance,1268.0,Geraldine Mary Harmsworth Park East_diatance,586.0,Millbank Millennium Pier_diatance,1277.0,19750.0
"Murray Grove , Hoxton",63,51.53089041,-0.089782579,62.0,Liverpool Street_diatance,1482.0,Lincoln's Inn Fields South_distance,2492.0,Blackfriars Pier_diatance,2383.0,24596.0
"William IV Street, Strand",64,51.50946212,-0.124749274,49.0,Charing Cross_diatance,246.0,St. James's Park Waterloo Place Gate_distance,621.0,Embankment Pier_diatance,363.0,5614.0
"Gower Place , Euston",65,51.52522753,-0.13518856,1.0,Euston_diatance,389.0,The Regent's Park St. Andrew's Gate_distance,743.0,Embankment Pier_diatance,2244.0,11192.0
"Holborn Circus, Holborn",66,51.51795029,-0.108657431,14.0,Blackfriars_diatance,807.0,Lincoln's Inn Fields South_distance,581.0,Blackfriars Pier_diatance,974.0,31587.0
"Hatton Garden, Holborn",67,51.51882555,-0.108028472,43.0,Blackfriars_diatance,876.0,Lincoln's Inn Fields South_distance,666.0,Blackfriars Pier_diatance,1036.0,17909.0
"Theobald's Road , Holborn",68,51.52059681,-0.116688468,6.0,St Pancras_diatance,1366.0,Lincoln's Inn Fields West_distance,526.0,Festival Pier_diatance,1514.0,5611.0
"Euston Road, Euston",69,51.5262363,-0.134407652,15.0,Euston_diatance,274.0,The Regent's Park St. Andrew's Gate_distance,803.0,Embankment Pier_diatance,2325.0,6943.0
"Calshot Street , King's Cross",70,51.53136059,-0.117069978,19.0,Kings Cross_diatance,446.0,Lincoln's Inn Fields West_distance,1716.0,Blackfriars Pier_diatance,2562.0,18269.0
"Newgate Street , St. Paul's",71,51.5154186,-0.098850915,29.0,Blackfriars_diatance,513.0,Lincoln's Inn Fields South_distance,1200.0,Blackfriars Pier_diatance,553.0,1021.0
"Farringdon Lane, Clerkenwell",72,51.52352001,-0.108340165,15.0,Blackfriars_diatance,1376.0,Lincoln's Inn Fields South_distance,1030.0,Blackfriars Pier_diatance,1523.0,10379.0
"Old Street Station, St. Luke's",73,51.52548,-0.089659871,41.0,Liverpool Street_diatance,944.0,Lincoln's Inn Fields South_distance,2137.0,Blackfriars Pier_diatance,1828.0,7965.0
"Vauxhall Cross, Vauxhall",74,51.48591714,-0.124469948,77.0,Vauxhall_diatance,109.0,Geraldine Mary Harmsworth Park West_diatance,1433.0,St. George Wharf_diatance,198.0,48800.0
"Torrens Street, Angel",75,51.53219984,-0.105480698,15.0,Kings Cross_diatance,1233.0,Lincoln's Inn Fields South_distance,1984.0,Blackfriars Pier_diatance,2420.0,18101.0
"Longford Street, The Regent's Park",76,51.52559505,-0.144083893,50.0,Euston_diatance,748.0,The Regent's Park St. Andrew's Gate_distance,130.0,Embankment Pier_diatance,2601.0,4780.0
"Russell Square Station, Bloomsbury",77,51.52341837,-0.124121774,25.0,St Pancras_diatance,898.0,Lincoln's Inn Fields West_distance,935.0,Embankment Pier_diatance,1838.0,30478.0
"Sadlers Sports Centre, Finsbury",78,51.52486887,-0.099489485,26.0,Liverpool Street_diatance,1408.0,Lincoln's Inn Fields South_distance,1545.0,Blackfriars Pier_diatance,1588.0,32680.0
"Arundel Street, Temple",79,51.511726,-0.11385596,22.0,Blackfriars_diatance,751.0,Lincoln's Inn Fields South_distance,465.0,Festival Pier_diatance,592.0,2977.0
"Webber Street , Southwark",80,51.50069361,-0.102091246,52.0,Waterloo East_diatance,671.0,Geraldine Mary Harmsworth Park East_diatance,587.0,Bankside Pier_diatance,970.0,11382.0
"Great Titchfield Street, Fitzrovia",81,51.52025302,-0.141327271,41.0,Euston_diatance,1051.0,The Regent's Park St. Andrew's Gate_distance,650.0,Embankment Pier_diatance,2023.0,10022.0
"Chancery Lane, Holborn",82,51.514274,-0.111257,12.0,Blackfriars_diatance,644.0,Lincoln's Inn Fields South_distance,374.0,Blackfriars Pier_diatance,821.0,2977.0
"Panton Street, West End",83,51.50963938,-0.131510949,129.0,Charing Cross_diatance,629.0,St. James's Park Waterloo Place Gate_distance,450.0,Embankment Pier_diatance,764.0,5614.0
"Breams Buildings, Holborn",84,51.51593725,-0.111778348,11.0,Blackfriars_diatance,776.0,Lincoln's Inn Fields South_distance,307.0,Blackfriars Pier_diatance,955.0,2733.0
"Tanner Street, Bermondsey",85,51.50064702,-0.078600401,138.0,London Bridge_diatance,686.0,Geraldine Mary Harmsworth Park East_diatance,1968.0,Tower Bridge Quay_diatance,689.0,14036.0
"Sancroft Street, Vauxhall",86,51.48947903,-0.115156562,42.0,Vauxhall_diatance,668.0,Geraldine Mary Harmsworth Park West_diatance,743.0,Millbank Millennium Pier_diatance,708.0,19457.0
"Devonshire Square, Liverpool Street",87,51.51646835,-0.079684557,18.0,Liverpool Street_diatance,273.0,Lincoln's Inn Fields South_distance,2528.0,Tower Millennium Pier_diatance,1024.0,1021.0
"Bayley Street , Bloomsbury",88,51.51858757,-0.132053392,52.0,Euston_diatance,1137.0,Lincoln's Inn Fields West_distance,1019.0,Embankment Pier_diatance,1489.0,12381.0
"Tavistock Place, Bloomsbury",89,51.5262503,-0.123509611,35.0,St Pancras_diatance,600.0,Lincoln's Inn Fields West_distance,1210.0,Embankment Pier_diatance,2148.0,19753.0
"Harrington Square 1, Camden Town",90,51.53301907,-0.139174593,8.0,Euston_diatance,579.0,The Regent's Park Chester Gate_distance,756.0,Embankment Pier_diatance,3148.0,15115.0
"Walnut Tree Walk, Vauxhall",91,51.49368637,-0.111014912,61.0,Waterloo_diatance,1058.0,Geraldine Mary Harmsworth Park West_diatance,210.0,Millbank Millennium Pier_diatance,971.0,17675.0
"Borough Road, Elephant & Castle",92,51.49889832,-0.100440521,40.0,Waterloo East_diatance,884.0,Geraldine Mary Harmsworth Park East_diatance,502.0,Bankside Pier_diatance,1126.0,12715.0
"Cloudesley Road, Angel",93,51.53440868,-0.109025404,30.0,Kings Cross_diatance,1012.0,Lincoln's Inn Fields South_distance,2144.0,Blackfriars Pier_diatance,2704.0,22945.0
"Bricklayers Arms, Borough",94,51.49506109,-0.085814489,96.0,London Bridge_diatance,1140.0,Geraldine Mary Harmsworth Park East_diatance,1405.0,London Bridge City Pier_diatance,1322.0,22671.0
"Aldersgate Street, Barbican",95,51.5208417,-0.097340162,32.0,Blackfriars_diatance,1100.0,Lincoln's Inn Fields South_distance,1426.0,Blackfriars Pier_diatance,1164.0,13475.0
"Falkirk Street, Hoxton",96,51.53095071,-0.078505384,45.0,Liverpool Street_diatance,1404.0,Victoria Park St Agnes Gate_diatance,1980.0,Tower Millennium Pier_diatance,2633.0,13333.0
"Gloucester Road (North), Kensington",97,51.49792478,-0.183834706,54.0,Paddington_diatance,2186.0,Kensington Gardens Palace Gate_diatance,441.0,Cadogan Pier_diatance,2068.0,11047.0
"Hampstead Road, Euston",98,51.52554222,-0.138231303,86.0,Euston_diatance,436.0,The Regent's Park St. Andrew's Gate_distance,533.0,Embankment Pier_diatance,2372.0,4780.0
"Old Quebec Street, Marylebone",99,51.51457763,-0.158264483,103.0,Marylebone_diatance,1003.0,Hyde Park Marble Arch_diatance,274.0,Embankment Pier_diatance,2692.0,13849.0
"Albert Embankment, Vauxhall",100,51.49043573,-0.122806861,41.0,Vauxhall_diatance,504.0,Geraldine Mary Harmsworth Park West_diatance,1011.0,Millbank Millennium Pier_diatance,198.0,11597.0
"Queen Street 1, Bank",101,51.51155322,-0.0929401,24.0,Cannon Street_diatance,202.0,Lincoln's Inn Fields South_distance,1672.0,Bankside Pier_diatance,409.0,1021.0
"Jewry Street, Aldgate",102,51.51340693,-0.076793375,34.0,Fenchurch Street_diatance,246.0,Lincoln's Inn Fields South_distance,2737.0,Tower Millennium Pier_diatance,697.0,1021.0
"Vicarage Gate, Kensington",103,51.50472376,-0.192538767,31.0,Paddington_diatance,1751.0,Kensington Gardens Studio Gate_diatance,299.0,Cadogan Pier_diatance,3034.0,8796.0
"Crosswall, Tower",104,51.51159481,-0.077121322,50.0,Fenchurch Street_diatance,84.0,Geraldine Mary Harmsworth Park East_diatance,2647.0,Tower Millennium Pier_diatance,496.0,1021.0
"Westbourne Grove, Bayswater",105,51.51552971,-0.190240716,61.0,Paddington_diatance,939.0,Kensington Gardens Black Lion Gate_diatance,626.0,Cadogan Pier_diatance,3994.0,22058.0
"Woodstock Street, Mayfair",106,51.51410514,-0.147301667,23.0,Marylebone_diatance,1477.0,Hyde Park Marble Arch_diatance,818.0,Embankment Pier_diatance,1964.0,2938.0
"Finsbury Leisure Centre, St. Luke's",107,51.52600832,-0.096317627,59.0,Liverpool Street_diatance,1301.0,Lincoln's Inn Fields South_distance,1794.0,Blackfriars Pier_diatance,1741.0,19126.0
"Abbey Orchard Street, Westminster",108,51.49812559,-0.132102166,41.0,Victoria_diatance,895.0,St. James's Park Queen Anne's Gate_distance,333.0,Westminster Pier_diatance,739.0,24957.0
"Soho Square , Soho",109,51.51563144,-0.132328837,82.0,Charing Cross_diatance,1107.0,Lincoln's Inn Fields West_distance,995.0,Embankment Pier_diatance,1227.0,10317.0
"Wellington Road, St. John's Wood",110,51.53304322,-0.172528678,44.0,Marylebone_diatance,1287.0,The Regent's Park Hanover Gate_distance,702.0,Embankment Pier_diatance,4577.0,12418.0
"Park Lane , Hyde Park",111,51.5100172,-0.157275636,493.0,Marylebone_diatance,1508.0,Hyde Park Park Lane_diatance,111.0,Embankment Pier_diatance,2510.0,891.0
"Stonecutter Street, Holborn",112,51.51580998,-0.105270275,4.0,Blackfriars_diatance,494.0,Lincoln's Inn Fields South_distance,756.0,Blackfriars Pier_diatance,650.0,2733.0
"Gloucester Road (Central), South Kensington",113,51.49646288,-0.183289032,54.0,Paddington_diatance,2337.0,Kensington Gardens Palace Gate_diatance,606.0,Cadogan Pier_diatance,1915.0,19558.0
"Park Road (Baker Street), The Regent's Park",114,51.52451738,-0.158963647,204.0,Marylebone_diatance,321.0,The Regent's Park Clarence Gate_distance,57.0,Embankment Pier_diatance,3253.0,3413.0
"Braham Street, Aldgate",115,51.51423368,-0.073537654,62.0,Fenchurch Street_diatance,456.0,Mile End Park Football Pitch_diatance,2728.0,Tower Millennium Pier_diatance,858.0,23872.0
