name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density,intercept,min_rail_distance_estimate,min_park_distance_estimate,min_pier_distance_estimate,population_density_estimate,localR2
"River Street , Clerkenwell",1,51.52916347,-0.109970527,39.0,Kings Cross_diatance,989.794020790313,Lincoln's Inn Fields South_distance,1563.527946412427,Blackfriars Pier_diatance,2154.498742890281,13116.0,-0.27389651303371654,0.23027219972149032,0.006677904592157516,0.15097079715320463,-0.013491084935142289,0.3113616847554575
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,73.0,Paddington_diatance,2414.706083192033,Holland Park Duchess of Bedford_diatance,385.52269515924354,Cadogan Pier_diatance,2854.182637723929,12893.0,0.32057974182066434,-0.35472873876146876,-0.15464621222804495,-0.27706929223133075,0.01443793964781391,0.3087838974300874
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,20.0,Liverpool Street_diatance,361.7490102260871,Lincoln's Inn Fields South_distance,2273.4419011980854,London Bridge City Pier_diatance,1596.3350457284998,6784.0,-0.37297651894301004,0.1663279410934994,0.1183351585719759,-0.036902424977348816,0.03390352254286006,0.23309033742064963
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,31.0,Kings Cross_diatance,305.9934084086216,Lincoln's Inn Fields West_distance,1584.2949826144195,Embankment Pier_diatance,2566.722816955055,26642.0,-0.32680738885401744,0.14589196542690838,-0.16689387255493474,0.40726828196301357,-0.0001888402212042726,0.2973743662039426
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,24.0,Euston_diatance,1355.5936768738852,The Regent's Park St. Andrew's Gate_distance,813.3597797266998,Embankment Pier_diatance,2011.0229721890173,10022.0,-0.3613490205159745,-0.17976494143063107,0.01292170453929886,0.20574652715493832,-0.09664262405827675,0.07985972700192284
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,93.0,Marylebone_diatance,1293.949480849201,The Regent's Park Monkey Gate_distance,645.7611604671087,Embankment Pier_diatance,4437.086146918411,5024.0,0.49972926564731934,0.5766776829625957,-0.2586497346908978,-0.13482399427769587,-0.12233969466185705,0.5366731763244192
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,158.0,Paddington_diatance,1489.8998344578647,The Regent's Park Hanover Gate_distance,1244.6429063602463,Embankment Pier_diatance,4996.494795614784,21137.0,1.8625254720695945,0.9462930026574786,0.052110229043416695,-0.5851500216101103,-0.1193103560116884,0.3425998714122431
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,39.0,Cannon Street_diatance,471.8787647343346,Geraldine Mary Harmsworth Park North_diatance,1413.371402268254,Bankside Pier_diatance,156.03414651126658,9531.0,-0.5078060047736208,-0.44909820315392823,0.08056728488594503,0.0728682680083887,0.12730798884335512,0.33581538954686835
"Park Street, Bankside",10,51.50597426,-0.092754157,38.0,Cannon Street_diatance,471.2019147203891,Geraldine Mary Harmsworth Park East_diatance,1438.587972988625,Bankside Pier_diatance,418.33087792853865,9531.0,-0.48031616343926653,-0.5395607483053574,0.07217503210428591,0.11891522417766545,0.12195111865541684,0.3379630351589043
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,39.0,St Pancras_diatance,864.8283444817716,Lincoln's Inn Fields West_distance,945.17651461166,Embankment Pier_diatance,1889.14990217428,30478.0,-0.27749829012051247,0.03195643580431026,0.2345161328888966,-0.12453974504329798,0.01523076359018008,0.3272744624893513
