name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542,25.0,Liverpool Street_diatance,367.0772935263583,Lincoln's Inn Fields South_distance,2047.6396912043876,London Bridge City Pier_diatance,1137.2065165293352,1021.0
"Paddington Street, Marylebone",56,51.52058381,-0.154701411,38.0,Marylebone_diatance,638.6996243640581,The Regent's Park York Gate_distance,460.75362182874386,Embankment Pier_diatance,2760.4073103948526,23675.0
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614,28.0,St Pancras_diatance,984.0399614919739,Lincoln's Inn Fields West_distance,838.594099945568,Embankment Pier_diatance,1821.8750710059007,23833.0
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081,37.0,Liverpool Street_diatance,694.8336805270459,Victoria Park Bonner Gate_diatance,2334.1053563577066,Tower Millennium Pier_diatance,1918.8377373807634,6784.0
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727,20.0,Marylebone_diatance,736.8237552514514,The Regent's Park Hanover Gate_distance,502.16937763064095,Embankment Pier_diatance,4131.584100246347,27036.0
"Great Dover Street, The Borough",61,51.49738251,-0.089446947,84.0,London Bridge_diatance,930.3823717916563,Geraldine Mary Harmsworth Park East_diatance,1158.9780082020386,London Bridge City Pier_diatance,1112.2936430988939,36858.0
"Cotton Garden Estate, Kennington",62,51.4907579,-0.106323685,34.0,Vauxhall_diatance,1268.4776127345701,Geraldine Mary Harmsworth Park East_diatance,586.4540474849988,Millbank Millennium Pier_diatance,1277.117189734194,19750.0
"Murray Grove , Hoxton",63,51.53089041,-0.089782579,62.0,Liverpool Street_diatance,1481.7533216989596,Lincoln's Inn Fields South_distance,2492.232120565353,Blackfriars Pier_diatance,2382.6245652511343,24596.0
"William IV Street, Strand",64,51.50946212,-0.124749274,49.0,Charing Cross_diatance,246.23161176236505,St. James's Park Waterloo Place Gate_distance,620.6999358215476,Embankment Pier_diatance,363.4941920275303,5614.0
"Gower Place , Euston",65,51.52522753,-0.13518856,1.0,Euston_diatance,389.04817686810935,The Regent's Park St. Andrew's Gate_distance,742.8511511355903,Embankment Pier_diatance,2244.306112665462,11192.0
"Holborn Circus, Holborn",66,51.51795029,-0.108657431,14.0,Blackfriars_diatance,807.3812495739784,Lincoln's Inn Fields South_distance,580.7275433855802,Blackfriars Pier_diatance,974.3550591547067,31587.0
"Hatton Garden, Holborn",67,51.51882555,-0.108028472,43.0,Blackfriars_diatance,875.5553307100328,Lincoln's Inn Fields South_distance,666.2257166699287,Blackfriars Pier_diatance,1035.8238637092516,17909.0
"Theobald's Road , Holborn",68,51.52059681,-0.116688468,6.0,St Pancras_diatance,1366.3657072450794,Lincoln's Inn Fields West_distance,525.6657050350469,Festival Pier_diatance,1513.7178648659306,5611.0
"Euston Road, Euston",69,51.5262363,-0.134407652,15.0,Euston_diatance,274.0254205713373,The Regent's Park St. Andrew's Gate_distance,802.718672685007,Embankment Pier_diatance,2324.66417934206,6943.0
"Calshot Street , King's Cross",70,51.53136059,-0.117069978,19.0,Kings Cross_diatance,446.17285317863525,Lincoln's Inn Fields West_distance,1716.265791814336,Blackfriars Pier_diatance,2562.0098449613524,18269.0
"Newgate Street , St. Paul's",71,51.5154186,-0.098850915,29.0,Blackfriars_diatance,512.570605545762,Lincoln's Inn Fields South_distance,1199.950076562456,Blackfriars Pier_diatance,552.9272274510538,1021.0
"Farringdon Lane, Clerkenwell",72,51.52352001,-0.108340165,15.0,Blackfriars_diatance,1375.9863296233855,Lincoln's Inn Fields South_distance,1030.3609286335266,Blackfriars Pier_diatance,1523.026596789467,10379.0
"Old Street Station, St. Luke's",73,51.52548,-0.089659871,41.0,Liverpool Street_diatance,943.7357924204784,Lincoln's Inn Fields South_distance,2136.570404736811,Blackfriars Pier_diatance,1827.5720262949803,7965.0
"Vauxhall Cross, Vauxhall",74,51.48591714,-0.124469948,77.0,Vauxhall_diatance,108.72284080136158,Geraldine Mary Harmsworth Park West_diatance,1433.3516335697195,St. George Wharf_diatance,198.1943595315666,48800.0
"Torrens Street, Angel",75,51.53219984,-0.105480698,15.0,Kings Cross_diatance,1232.7870017615771,Lincoln's Inn Fields South_distance,1984.2796206022736,Blackfriars Pier_diatance,2420.05789854589,18101.0
"Longford Street, The Regent's Park",76,51.52559505,-0.144083893,50.0,Euston_diatance,747.514678171987,The Regent's Park St. Andrew's Gate_distance,130.05865047230245,Embankment Pier_diatance,2600.628670147008,4780.0
"Russell Square Station, Bloomsbury",77,51.52341837,-0.124121774,25.0,St Pancras_diatance,898.0057344046132,Lincoln's Inn Fields West_distance,935.0142692028419,Embankment Pier_diatance,1838.285340899883,30478.0
"Sadlers Sports Centre, Finsbury",78,51.52486887,-0.099489485,26.0,Liverpool Street_diatance,1408.030808733772,Lincoln's Inn Fields South_distance,1544.944539017767,Blackfriars Pier_diatance,1587.6383878516865,32680.0
"Arundel Street, Temple",79,51.511726,-0.11385596,22.0,Blackfriars_diatance,751.3929602561273,Lincoln's Inn Fields South_distance,464.6986693733293,Festival Pier_diatance,591.9523520753287,2977.0
"Webber Street , Southwark",80,51.50069361,-0.102091246,52.0,Waterloo East_diatance,671.3886009205528,Geraldine Mary Harmsworth Park East_diatance,586.5156151198537,Bankside Pier_diatance,970.0218452304359,11382.0
"Great Titchfield Street, Fitzrovia",81,51.52025302,-0.141327271,41.0,Euston_diatance,1051.3374056626922,The Regent's Park St. Andrew's Gate_distance,650.4884554374607,Embankment Pier_diatance,2023.0737132700356,10022.0
"Chancery Lane, Holborn",82,51.514274,-0.111257,12.0,Blackfriars_diatance,644.1242872159546,Lincoln's Inn Fields South_distance,373.73381521874643,Blackfriars Pier_diatance,821.2694995571346,2977.0
"Panton Street, West End",83,51.50963938,-0.131510949,129.0,Charing Cross_diatance,628.833539209893,St. James's Park Waterloo Place Gate_distance,449.6069693963959,Embankment Pier_diatance,763.8483970301481,5614.0
"Breams Buildings, Holborn",84,51.51593725,-0.111778348,11.0,Blackfriars_diatance,775.6282210121694,Lincoln's Inn Fields South_distance,306.8717474682741,Blackfriars Pier_diatance,954.8675288641159,2733.0
"Tanner Street, Bermondsey",85,51.50064702,-0.078600401,138.0,London Bridge_diatance,685.6226835046755,Geraldine Mary Harmsworth Park East_diatance,1968.1195342701092,Tower Bridge Quay_diatance,688.7965842130417,14036.0
"Sancroft Street, Vauxhall",86,51.48947903,-0.115156562,42.0,Vauxhall_diatance,667.7095544021258,Geraldine Mary Harmsworth Park West_diatance,742.9529959550383,Millbank Millennium Pier_diatance,708.2526243976391,19457.0
"Devonshire Square, Liverpool Street",87,51.51646835,-0.079684557,18.0,Liverpool Street_diatance,273.0098203550301,Lincoln's Inn Fields South_distance,2527.567580492622,Tower Millennium Pier_diatance,1024.0728286497458,1021.0
"Bayley Street , Bloomsbury",88,51.51858757,-0.132053392,52.0,Euston_diatance,1137.119753175618,Lincoln's Inn Fields West_distance,1019.020438849153,Embankment Pier_diatance,1488.8523793673126,12381.0
"Tavistock Place, Bloomsbury",89,51.5262503,-0.123509611,35.0,St Pancras_diatance,600.0041047314563,Lincoln's Inn Fields West_distance,1209.5740002725643,Embankment Pier_diatance,2148.3185777600825,19753.0
"Harrington Square 1, Camden Town",90,51.53301907,-0.139174593,8.0,Euston_diatance,578.9723920591919,The Regent's Park Chester Gate_distance,756.4359758474094,Embankment Pier_diatance,3147.764113612164,15115.0
"Walnut Tree Walk, Vauxhall",91,51.49368637,-0.111014912,61.0,Waterloo_diatance,1057.6200584422286,Geraldine Mary Harmsworth Park West_diatance,210.46669439169014,Millbank Millennium Pier_diatance,970.7632850792044,17675.0
"Borough Road, Elephant & Castle",92,51.49889832,-0.100440521,40.0,Waterloo East_diatance,884.07500997724,Geraldine Mary Harmsworth Park East_diatance,502.4166949994643,Bankside Pier_diatance,1126.3716093988949,12715.0
"Cloudesley Road, Angel",93,51.53440868,-0.109025404,30.0,Kings Cross_diatance,1012.3174744087771,Lincoln's Inn Fields South_distance,2144.465716465432,Blackfriars Pier_diatance,2703.6745624049368,22945.0
"Bricklayers Arms, Borough",94,51.49506109,-0.085814489,96.0,London Bridge_diatance,1139.5885472150462,Geraldine Mary Harmsworth Park East_diatance,1404.7921923495007,London Bridge City Pier_diatance,1321.9973477281442,22671.0
"Aldersgate Street, Barbican",95,51.5208417,-0.097340162,32.0,Liverpool Street_diatance,1099.5885658091772,Lincoln's Inn Fields South_distance,1426.431927756441,Blackfriars Pier_diatance,1163.6752197762744,13475.0
"Falkirk Street, Hoxton",96,51.53095071,-0.078505384,45.0,Liverpool Street_diatance,1404.233622233653,Victoria Park St Agnes Gate_diatance,1980.0650275742798,Tower Millennium Pier_diatance,2633.098585881371,13333.0
"Gloucester Road (North), Kensington",97,51.49792478,-0.183834706,54.0,Paddington_diatance,2185.5362872339006,Kensington Gardens Palace Gate_diatance,440.72788798897824,Cadogan Pier_diatance,2068.368510361542,11047.0
"Hampstead Road, Euston",98,51.52554222,-0.138231303,86.0,Euston_diatance,435.8005749565108,The Regent's Park St. Andrew's Gate_distance,532.6107720580463,Embankment Pier_diatance,2372.3615046372024,4780.0
"Old Quebec Street, Marylebone",99,51.51457763,-0.158264483,103.0,Marylebone_diatance,1002.691517690345,Hyde Park Marble Arch_diatance,274.47243784033725,Embankment Pier_diatance,2691.6915050299453,13849.0
"Albert Embankment, Vauxhall",100,51.49043573,-0.122806861,41.0,Vauxhall_diatance,504.391391252495,Geraldine Mary Harmsworth Park West_diatance,1011.2388766672473,Millbank Millennium Pier_diatance,198.42432891614646,11597.0
"Queen Street 1, Bank",101,51.51155322,-0.0929401,24.0,Cannon Street_diatance,201.5266509124835,Lincoln's Inn Fields South_distance,1671.8653146401905,Bankside Pier_diatance,408.61708334126115,1021.0
"Jewry Street, Aldgate",102,51.51340693,-0.076793375,34.0,Fenchurch Street_diatance,246.3146677435716,Lincoln's Inn Fields South_distance,2737.3947562372473,Tower Millennium Pier_diatance,697.45562105029,1021.0
"Vicarage Gate, Kensington",103,51.50472376,-0.192538767,31.0,Paddington_diatance,1750.7576491312884,Kensington Gardens Studio Gate_diatance,299.08014830102377,Cadogan Pier_diatance,3034.318609048593,8796.0
"Crosswall, Tower",104,51.51159481,-0.077121322,50.0,Fenchurch Street_diatance,84.3954123548188,Geraldine Mary Harmsworth Park East_diatance,2646.5336604902777,Tower Millennium Pier_diatance,496.0391596619113,1021.0
"Westbourne Grove, Bayswater",105,51.51552971,-0.190240716,61.0,Paddington_diatance,939.4884802940513,Kensington Gardens Black Lion Gate_diatance,626.3648607587306,Cadogan Pier_diatance,3993.527608036535,22058.0
