name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"Triangle Car Park, Hyde Park",-0.170279555,51.50645179,5.313949085,5.066569541,2.236443238,3.077505847,0.325928107,0.139381002,0.023697637,-2.854863223,-1.094178972,-3.799399154,-1.061589595,-0.642009836,0.487506362,0.441025236,0.446907505,0.397173556,0.179919769,-5.856053269,-2.480989484,-8.501533563,-2.672860714,-3.568311795,6.96E-09,0.013309449,9.32E-17,0.007676271,0.000381015,14.01491296
"Albert Gate, Hyde Park",-0.158456089,51.50295379,5.556529179,5.318684369,2.894050659,2.66247852,0.234830945,0.117322706,0.014193057,-1.392253833,-1.083994307,-2.092729423,1.945157336,-0.505965701,0.533515602,0.365601895,0.566192944,0.595253426,0.156442274,-2.609584101,-2.964958117,-3.696141829,3.267780162,-3.234200625,0.009237237,0.003118579,0.000234054,0.0011309,0.00127067,18.29553666
"Knightsbridge, Hyde Park",-0.155349725,51.50275704,0.365315168,0.14116181,2.815135914,-2.449820746,0.237900857,0.116703418,0.01193616,-1.483266566,-1.377162505,-1.973565416,2.498076283,-0.481741897,0.512316559,0.436669394,0.550410692,0.62439237,0.155988282,-2.895214958,-3.153787565,-3.585623324,4.000811671,-3.088321066,0.003893739,0.001672791,0.000356989,6.91E-05,0.002083522,19.78709234
"Seville Street, Knightsbridge",-0.159237081,51.50185512,-0.061625797,-0.286604834,2.50501643,-2.566642228,0.248041709,0.099340343,0.01072656,0,-0.83241814,-1.332182384,2.141624008,-0.46279522,0.556200971,0.326155382,0.599794852,0.658892516,0.15014596,0,-2.552213408,-2.221063386,3.250338951,-3.082302191,0.448647957,0.010891674,0.026630205,0.001201615,0.002125599,19.43994029
"Belgrave Square, Belgravia",-0.152317537,51.49941247,-0.294502687,-0.457272179,1.647339402,-1.94184209,0.257063528,0.12669838,0.008329058,0,0,-1.276336383,1.905304415,-0.451375936,0.48934959,0.431114019,0.494491135,0.598685691,0.147702874,0,0,-2.581110747,3.182478623,-3.055972598,0.959054702,0.653556876,0.010027961,0.00151749,0.002318999,21.18462542
"Grosvenor Crescent, Belgravia",-0.153194766,51.50135267,-0.255689872,-0.305467178,0.455260192,-0.710950065,0.247837228,0.672085199,0.042005488,0,-1.022394433,-1.521345321,2.426793005,-0.453570853,0.484092501,0.446325579,0.51229906,0.614902285,0.151542647,0,-2.290692002,-2.969643009,3.94663195,-2.993024495,0.106462798,0.022244475,0.00307194,8.63E-05,0.002848563,21.09335895
"Hyde Park Corner, Hyde Park",-0.153520935,51.50311799,13.91098762,13.68814325,2.739206907,11.17178071,0.241709747,0.111096335,0.233324687,-1.908002647,-1.55198564,-2.25191016,2.517157281,-0.456070133,0.486826567,0.468716675,0.51590347,0.596672914,0.154221904,-3.919265665,-3.311138101,-4.364983551,4.218655182,-2.957233188,9.65E-05,0.00097147,1.44E-05,2.74E-05,0.003196895,20.73347433
"Eaton Square, Belgravia",-0.150905245,51.49654462,-0.362425114,-0.456278726,0.444325645,-0.806750759,0.274253932,0.117295831,0.001302736,0,0,-1.213333111,1.243571116,-0.380405229,0.450343648,0.370906004,0.40314631,0.425950037,0.134466891,0,0,-3.009659476,2.919523438,-2.82898807,0.232507022,0.069156959,0.002698796,0.003605605,0.004788167,23.35758372
"Harriet Street, Knightsbridge",-0.15934065,51.50024195,-0.100438612,-0.281107382,1.841883792,-1.942322404,0.265549734,0.065411733,0.003756498,0,0,0,1.97337076,-0.383883472,0.57625325,0.294857934,0.614474299,0.677468938,0.140581,0,0,0,2.912857917,-2.730692431,0.797100276,0.096479159,0.116100264,0.003682615,0.006461341,21.60673015
"Wellington Arch, Hyde Park",-0.149569201,51.50274025,3.266573092,3.05179581,2.569667468,0.696905624,0.252078561,0.159759942,0.001461284,-2.079666965,-1.418280758,-2.480566895,2.20963653,-0.398759905,0.463917495,0.471545664,0.455955426,0.520452814,0.148518403,-4.482837976,-3.007727282,-5.440371482,4.24560396,-2.684919151,8.46E-06,0.002715814,7.10E-08,2.44E-05,0.007407212,21.52797135
"Aquatic Centre, Queen Elizabeth Olympic Park",-0.010510565,51.54094,17.12274806,16.83279978,5.088482047,12.03426601,0.37759987,0.231239885,0.753435052,2.43828012,-4.076700371,-3.669712142,-3.441079679,-0.57694871,0.516934267,0.370572878,0.384995582,0.400749223,0.215043808,4.716808835,-11.00107593,-9.531829239,-8.586615962,-2.682935706,2.83E-06,2.76E-26,1.86E-20,4.75E-17,0.007450878,22.92796604
"East Village, Queen Elizabeth Olympic Park",-0.00993526,51.546326,1.927530973,1.675397497,2.773340738,-0.845809765,0.368586296,0.179559616,0.00253738,1.899049239,-3.597043155,-3.692934914,-3.052947056,-0.54822197,0.506867896,0.335053837,0.391635985,0.377477902,0.214829022,3.74663547,-10.73571693,-9.429508676,-8.087750413,-2.551899017,0.000192296,3.46E-25,4.48E-20,2.29E-15,0.010901425,21.48848092
"Podium, Queen Elizabeth Olympic Park",-0.011889482,51.538718,3.965203763,3.707322661,4.479683661,-0.514479899,0.383878094,0.214499394,0.001223476,2.473508746,-3.946200054,-3.307686806,-3.209135759,-0.528537588,0.505524703,0.362721363,0.361300498,0.381976386,0.20859713,4.892953268,-10.87942553,-9.154946709,-8.401398306,-2.533772106,1.20E-06,8.84E-26,4.59E-19,2.05E-16,0.011476912,24.28980387
"Stratford Station, Stratford",-0.00481,51.541793,0.355611964,0.151682609,3.689737939,-3.334125974,0.377554351,0.242710481,0.062553872,2.691306502,-3.86666421,-3.112549614,-3.201989035,-0.538143461,0.522775977,0.367661392,0.340218082,0.392372331,0.214141308,5.148106685,-10.51691664,-9.14868957,-8.160588249,-2.513029668,3.33E-07,2.69E-24,4.83E-19,1.32E-15,0.01216845,21.75550727
"Park Lane, Mayfair",-0.150817316,51.50542628,-0.051922593,-0.261885367,2.011975261,-2.063897855,0.25256549,0.087765512,0.00597328,-2.571333631,-1.268864878,-2.92418392,1.787738693,-0.355294296,0.445274615,0.458079055,0.45607704,0.447080141,0.144654358,-5.77471418,-2.769969208,-6.41160081,3.998698508,-2.456160328,1.11E-08,0.005738061,2.48E-10,6.97E-05,0.014257807,22.04735723
"Serpentine Car Park, Hyde Park",-0.17306032,51.505014,2.500019995,2.255936635,2.013202783,0.486817212,0.385264049,0.127471763,0.000527609,-1.834535578,-0.90436307,-2.803688926,-0.725689767,-0.42488453,0.436787643,0.373519148,0.441608776,0.35897797,0.185915153,-4.200062904,-2.421196007,-6.348807084,-2.021544016,-2.285367936,2.97E-05,0.015694435,3.66E-10,0.043561044,0.022556067,15.4651188
"Timber Lodge, Queen Elizabeth Olympic Park",-0.01469126,51.546805,1.811092528,1.523436769,2.997442679,-1.186350151,0.36676542,0.125181644,0.00306095,1.567482563,-3.25520113,-3.545503429,-2.714050484,-0.479741205,0.500725419,0.311532686,0.391302837,0.359362049,0.210039655,3.130423392,-10.44898748,-9.060765963,-7.552412655,-2.284050622,0.001809941,5.05E-24,1.01E-18,1.18E-13,0.022633747,22.01037795
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",-0.015717614,51.549369,1.199790691,0.949355643,0.571595593,0.628195098,0.362210124,0.209484759,0.001758922,1.426659178,-3.05117129,-3.487494121,-2.563417381,-0.454504266,0.509539167,0.300862625,0.396222553,0.359826332,0.210943412,2.799900914,-10.14141018,-8.801856668,-7.124040546,-2.154626505,0.005236891,8.45E-23,8.43E-18,2.37E-12,0.031493487,20.57943597
"Eaton Square (South), Belgravia",-0.15393398,51.49456127,-0.255689872,-0.313853767,0.143704371,-0.399394243,0.273460548,0.110701566,0.000296885,0,0,-1.279171046,0.901675608,-0.279922746,0.40474483,0.292589255,0.373583509,0.374941863,0.130685149,0,0,-3.424056513,2.404841114,-2.141962942,0.473464464,0.060584671,0.000648816,0.016409176,0.032502397,23.20703356
"Stanhope Gate, Mayfair",-0.150666888,51.50686435,-0.401237929,-0.587018634,1.267012319,-1.668250248,0.261454775,0.069903464,0.002990134,-2.401082729,-0.994565667,-2.863143034,1.202475702,-0.291196956,0.417312164,0.452839921,0.426945624,0.368670289,0.139949939,-5.753684977,-2.196285309,-6.706106997,3.261656111,-2.080722285,1.25E-08,0.028362178,3.81E-11,0.001155279,0.037781814,23.03636746
