name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density,intercept,min_rail_distance_estimate,min_park_distance_estimate,min_pier_distance_estimate,population_density_estimate,localR2
"River Street , Clerkenwell",1,51.52916347,-0.109970527,10.0,Kings Cross_diatance,990.0,Lincoln's Inn Fields South_distance,1564.0,Blackfriars Pier_diatance,2154.0,13116.0,-0.1989314863794287,0.0030077502807199876,0.03280114487163754,-0.0621957158566745,-0.01027477768673655,0.10639389481515847
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,33.0,Paddington_diatance,2415.0,Holland Park Duchess of Bedford_diatance,386.0,Cadogan Pier_diatance,2854.0,12893.0,0.044959068497201826,-0.07365983926104568,-0.20192227474598198,-0.03659064150411638,-0.2178365406367575,0.1831996195119341
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,13.0,Liverpool Street_diatance,362.0,Lincoln's Inn Fields South_distance,2273.0,London Bridge City Pier_diatance,1596.0,6784.0,-0.14431591638673605,0.15289062681727228,0.07595869934071423,-0.13094739509816808,0.004759682614461975,0.08666810107414513
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,22.0,Kings Cross_diatance,306.0,Lincoln's Inn Fields West_distance,1584.0,Embankment Pier_diatance,2567.0,26642.0,-0.1765476182483215,-0.01515921642406614,-0.011939168086454361,-0.018774302192691654,-0.046455614552534386,0.0976320919263674
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,35.0,Euston_diatance,1356.0,The Regent's Park St. Andrew's Gate_distance,813.0,Embankment Pier_diatance,2011.0,10022.0,-0.3409190061583631,0.020399881842812106,-0.5944600599175051,0.056941941892688266,-0.17962010179959798,0.17080895940825225
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,43.0,Marylebone_diatance,1294.0,The Regent's Park Monkey Gate_distance,646.0,Embankment Pier_diatance,4437.0,5024.0,-0.4430152098247834,0.10351380909026638,-0.8215097123030369,0.04465766064160087,-0.22359231347967015,0.18328285789312596
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,87.0,Paddington_diatance,1490.0,The Regent's Park Hanover Gate_distance,1245.0,Embankment Pier_diatance,4996.0,21137.0,-0.3034506075870801,0.02221776363215793,-0.6518112575009285,0.017732005382533358,-0.23222057250724992,0.18474901348112238
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,33.0,Cannon Street_diatance,472.0,Geraldine Mary Harmsworth Park North_diatance,1413.0,Bankside Pier_diatance,156.0,9531.0,-0.2312974476060886,0.060072295539056346,0.0733706020508783,-0.22140062913579947,0.03701240905503381,0.11707916229272505
"Park Street, Bankside",10,51.50597426,-0.092754157,15.0,Cannon Street_diatance,471.0,Geraldine Mary Harmsworth Park East_diatance,1439.0,Bankside Pier_diatance,418.0,9531.0,-0.2222926243998287,0.0764381880113964,0.07859150757993308,-0.2204026473200419,0.03831518625201827,0.10568527357536663
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,52.0,St Pancras_diatance,865.0,Lincoln's Inn Fields West_distance,945.0,Embankment Pier_diatance,1889.0,30478.0,-0.20259768539321715,-0.06213386098493917,-0.024888597781095888,-0.03694409958080831,-0.05127455445293689,0.11952857722574954
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,24.0,Euston_diatance,830.0,Lincoln's Inn Fields West_distance,1074.0,Embankment Pier_diatance,1752.0,12381.0,-0.21517370341119715,-0.07360234517361786,-0.1793366495746599,0.04033884274671969,-0.0967583349498698,0.15671082318461252
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,17.0,Euston_diatance,983.0,The Regent's Park St. Andrew's Gate_distance,913.0,Embankment Pier_diatance,1762.0,19918.0,-0.2567379894023745,-0.06670293524020027,-0.3230447517952416,0.07018266065866875,-0.1309219830494043,0.1636152836990807
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,63.0,St Pancras_diatance,236.0,The Regent's Park Chester Gate_distance,1565.0,Embankment Pier_diatance,2559.0,20725.0,-0.17047391408945117,-0.015629573176346015,-0.03681768741482192,-0.00031522733413745957,-0.05898636979526451,0.11959047135968211
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,30.0,Charing Cross_diatance,1184.0,Lincoln's Inn Fields West_distance,713.0,Embankment Pier_diatance,1278.0,5482.0,-0.24385648414953917,-0.1206242759826163,-0.1420778243797465,0.0030866376364918216,-0.07947653717072599,0.14616145653626983
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,20.0,St Pancras_diatance,561.0,Lincoln's Inn Fields West_distance,1285.0,Embankment Pier_diatance,2179.0,17800.0,-0.18392844841334,-0.04211706454727956,-0.07077265449529242,0.006129367484957225,-0.07103618682405557,0.1383963252113468
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,32.0,Blackfriars_diatance,1193.0,Lincoln's Inn Fields South_distance,833.0,Blackfriars Pier_diatance,1349.0,17909.0,-0.23712928307677053,-0.03403711524559405,0.04054775533466261,-0.11094434284766043,0.005788609568643975,0.13755852419373604
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,55.0,Charing Cross_diatance,811.0,Lincoln's Inn Fields West_distance,322.0,Embankment Pier_diatance,869.0,14982.0,-0.27401529422078996,-0.1391053522696336,-0.019090219290828547,-0.09986890812949134,-0.04586910740560555,0.12718546702516284
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087,41.0,Euston_diatance,467.0,The Regent's Park St. Andrew's Gate_distance,1022.0,Embankment Pier_diatance,2122.0,17263.0,-0.1923849542646086,-0.04038726673360209,-0.1698905912595591,0.04865081271573986,-0.10236458804826726,0.15999567825111158
"Drummond Street , Euston",20,51.527326,-0.13605286,15.0,Euston_diatance,187.0,The Regent's Park Chester Gate_distance,685.0,Embankment Pier_diatance,2481.0,6943.0,-0.19513328704099994,-0.009340394875712896,-0.2352089012416814,0.06653199391793367,-0.13246540482741745,0.168054107042324
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212,0.0,Liverpool Street_diatance,2715.0,Victoria Park St Agnes Gate_diatance,884.0,Tower Millennium Pier_diatance,3788.0,17789.0,-0.03949651397304178,-0.07682396850700053,-0.08739121297034395,0.10654831444419384,-0.024739362394585754,0.08953205072346157
"Northington Street , Holborn",22,51.5222641,-0.114079481,30.0,Kings Cross_diatance,1295.0,Lincoln's Inn Fields South_distance,750.0,Blackfriars Pier_diatance,1582.0,17644.0,-0.23676514199878976,-0.05799696633444676,0.031466945429873244,-0.10051307075326636,-0.010389243138973799,0.13395695529728913
"Red Lion Square, Holborn",23,51.51943538,-0.119123345,12.0,Charing Cross_diatance,1355.0,Lincoln's Inn Fields West_distance,397.0,Festival Pier_diatance,1386.0,5611.0,-0.244193448805363,-0.09356208847234368,0.015855786373599523,-0.09897308143883281,-0.029808904761470918,0.1199857673447596
"British Museum, Bloomsbury",24,51.51908011,-0.124678402,53.0,Euston_diatance,1267.0,Lincoln's Inn Fields West_distance,582.0,Embankment Pier_diatance,1365.0,5482.0,-0.2307562007124143,-0.10535572801732827,-0.0638709813885324,-0.03565242793786666,-0.06193604054682529,0.13381166009143933
"Doric Way , Somers Town",25,51.5288338,-0.132250369,29.0,Euston_diatance,156.0,The Regent's Park Chester Gate_distance,956.0,Embankment Pier_diatance,2545.0,13495.0,-0.1752675551547384,-0.010947128262058818,-0.16063261772339668,0.05497926395407291,-0.10793911729652722,0.16196634819610237
"Ampton Street , Clerkenwell",26,51.52728093,-0.11829517,17.0,Kings Cross_diatance,666.0,Lincoln's Inn Fields West_distance,1262.0,Blackfriars Pier_diatance,2208.0,33409.0,-0.1956913850003846,-0.03179079043655757,0.0073923127225730394,-0.04918165539419473,-0.03327979019831218,0.09771957484113454
"Bouverie Street, Temple",27,51.51382102,-0.107927706,25.0,Blackfriars_diatance,421.0,Lincoln's Inn Fields South_distance,607.0,Blackfriars Pier_diatance,600.0,2733.0,-0.2597030424325262,-0.045610568629906784,0.03701381153758047,-0.1548811087964499,0.01607033714316615,0.15090686947799523
