name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density,intercept,min_rail_distance_95,min_park_distance_95,min_pier_distance_95,population_density_95,localR2
"Garnet Street, Shadwell",453,51.508447,-0.055167,31.0,Fenchurch Street_diatance,1634.0,Mile End Park Football Pitch_diatance,1801.0,Tower Bridge Quay_diatance,1299.0,17201.0,0.0,0.0,0.0,0.0,0.0,0.050219066284020716
"Napier Avenue, Millwall",454,51.487679,-0.021582,54.0,Fenchurch Street_diatance,4730.0,Mile End Park Pavilion_diatance,3226.0,Masthouse Terrace Pier_diatance,62.0,31597.0,2.591436295584012,0.0,0.0,2.3737205145522533,-2.0964700294022505,0.09734516959260119
"East Ferry Road, Cubitt Town",455,51.49447,-0.014409,19.0,Fenchurch Street_diatance,4806.0,Mile End Park Pavilion_diatance,2637.0,Masthouse Terrace Pier_diatance,958.0,15821.0,2.9519017611222798,0.0,0.0,2.659116381102497,-2.2658513249858747,0.10078626997978818
"Parkway, Camden Town",456,51.538071,-0.144664,25.0,Euston_diatance,1257.0,The Regent's Park St. Mark's Gate_distance,552.0,Embankment Pier_diatance,3816.0,12410.0,0.0,0.0,-2.3058356754551426,0.0,-2.0078890698152914,0.1798497493418254
"Castlehaven Road, Camden Town",457,51.542138,-0.145393,108.0,Euston_diatance,1673.0,The Regent's Park St. Mark's Gate_distance,784.0,Embankment Pier_diatance,4249.0,10028.0,0.0,0.0,-2.183415892418261,0.0,0.0,0.18073487412209757
"Wapping Lane, Wapping",458,51.504749,-0.057544,55.0,Fenchurch Street_diatance,1616.0,Mile End Park Football Pitch_diatance,2195.0,Tower Bridge Quay_diatance,1114.0,20699.0,0.0,0.0,0.0,0.0,0.0,0.009623811071473922
"Gunmakers Lane, Old Ford",459,51.535179,-0.03338,89.0,Stratford International_diatance,2014.0,Victoria Park Gunmaker's Gate_distance,119.0,Canary Wharf Pier_diatance,3349.0,21816.0,2.4829236794069502,0.0,0.0,2.515089280596525,-2.0755405562094653,0.10942550797233908
"Burdett Road, Mile End",460,51.516196,-0.029138,40.0,Stratford_diatance,3338.0,Mile End Park Pavilion_diatance,20.0,Canary Wharf Pier_diatance,1223.0,16999.0,2.5070607369873272,0.0,0.0,2.5517311939302965,-2.1718275171948442,0.10542451903592626
"Aston Street, Stepney",461,51.516,-0.038775,71.0,Fenchurch Street_diatance,2783.0,Mile End Park Football Pitch_diatance,392.0,Nelson Dock Pier_diatance,1369.0,20409.0,0.0,0.0,0.0,2.1605140963421823,0.0,0.10431013016156539
"Bonny Street, Camden Town",462,51.541603,-0.138853,53.0,St Pancras_diatance,1437.0,The Regent's Park St. Mark's Gate_distance,1085.0,Embankment Pier_diatance,4036.0,16596.0,0.0,0.0,0.0,0.0,0.0,0.1732997254759615
"Thurtle Road, Haggerston",463,51.534776,-0.071881,16.0,Liverpool Street_diatance,1938.0,Victoria Park St Agnes Gate_diatance,1438.0,Tower Millennium Pier_diatance,3097.0,22367.0,0.0,0.0,0.0,0.0,0.0,0.05298101027681524
"St. Mary & St. Michael Church, Stepney",464,51.51417,-0.052099,8.0,Fenchurch Street_diatance,1839.0,Mile End Park Football Pitch_diatance,1294.0,Tower Bridge Quay_diatance,1740.0,28828.0,0.0,0.0,0.0,0.0,0.0,0.08749164279740791
"Pitfield Street North,Hoxton",465,51.53558,-0.08249,33.0,Liverpool Street_diatance,1900.0,Victoria Park St Agnes Gate_diatance,2162.0,Blackfriars Pier_diatance,3055.0,30630.0,0.0,0.0,0.0,0.0,0.0,0.09393944341733723
"Whiston Road, Haggerston",466,51.534464,-0.076341,13.0,Liverpool Street_diatance,1816.0,Victoria Park St Agnes Gate_diatance,1748.0,Tower Millennium Pier_diatance,3029.0,17077.0,0.0,0.0,0.0,0.0,0.0,0.09119244504851953
"Southern Grove, Bow",467,51.523538,-0.030556,15.0,Stratford_diatance,2744.0,Mile End Park Solebay Street_diatance,405.0,Canary Wharf Pier_diatance,2043.0,10078.0,2.504014186431341,0.0,0.0,2.5731581269252284,-2.160600593141349,0.10714703525673325
"Cantrell Road, Bow",468,51.521564,-0.022694,62.0,Stratford_diatance,2596.0,Mile End Park Stadium_diatance,624.0,Canary Wharf Pier_diatance,1868.0,15771.0,2.816236095203407,0.0,0.0,2.7220603078565713,-2.298527631296792,0.10632403649168849
"Lindfield Street, Poplar",469,51.513757,-0.020467,57.0,Stratford_diatance,3317.0,Mile End Park Pavilion_diatance,679.0,Canary Wharf Pier_diatance,1111.0,24063.0,2.8476028020660618,0.0,0.0,2.732802655810262,-2.302128799030365,0.10491806118615167
"Mostyn Grove, Bow",470,51.530535,-0.025492,16.0,Stratford_diatance,1953.0,Mile End Park Art Pavilion_diatance,850.0,Canary Wharf Pier_diatance,2826.0,31188.0,2.7713267414119716,0.0,0.0,2.6861460296149096,-2.2625294746124958,0.10787700035275395
"Hewison Street, Old Ford",471,51.533283,-0.028155,38.0,Stratford International_diatance,1858.0,Victoria Park Gunmaker's Gate_distance,527.0,Canary Wharf Pier_diatance,3123.0,27799.0,2.6914061318685127,0.0,0.0,2.632623134615883,-2.209233234317917,0.10852503262694357
"Malmesbury Road, Bow",472,51.529452,-0.027616,10.0,Stratford_diatance,2143.0,Mile End Park Art Pavilion_diatance,669.0,Canary Wharf Pier_diatance,2698.0,15873.0,2.6856048012894815,0.0,0.0,2.6412639064555905,-2.2258238966375323,0.10790546152655002
"Millharbour, Millwall",473,51.496137,-0.019355,28.0,Fenchurch Street_diatance,4419.0,Mile End Park Pavilion_diatance,2345.0,Greenland Pier_diatance,869.0,8154.0,2.7773380664096994,0.0,0.0,2.5725504866706497,-2.2121919284675946,0.10068695187149374
"Gascoyne Road, Victoria Park",474,51.541515,-0.038557746,108.0,Stratford International_diatance,2097.0,Victoria Park Queen's Gate_distance,40.0,Canary Wharf Pier_diatance,4095.0,14145.0,2.263341638955923,0.0,-2.2054132343238853,2.4220652649883765,0.0,0.11134068060148798
"Lightermans Road, Millwall",475,51.499041,-0.020157,98.0,Fenchurch Street_diatance,4252.0,Mile End Park Pavilion_diatance,2020.0,Canary Wharf Pier_diatance,908.0,23256.0,2.7652260875839243,0.0,0.0,2.599304426714384,-2.2215422844083466,0.10148809012113745
