name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density,intercept,min_rail_distance_95,min_park_distance_95,min_pier_distance_95,population_density_95,localR2
"River Street , Clerkenwell",1,51.52916347,-0.109970527,10.0,Kings Cross_diatance,990.0,Lincoln's Inn Fields South_distance,1564.0,Blackfriars Pier_diatance,2154.0,13116.0,0.0,0.0,0.0,0.0,0.0,0.10639389481515847
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,33.0,Paddington_diatance,2415.0,Holland Park Duchess of Bedford_diatance,386.0,Cadogan Pier_diatance,2854.0,12893.0,0.0,0.0,-2.8765393790644835,0.0,-2.734691248566528,0.1831996195119341
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,13.0,Liverpool Street_diatance,362.0,Lincoln's Inn Fields South_distance,2273.0,London Bridge City Pier_diatance,1596.0,6784.0,0.0,0.0,0.0,0.0,0.0,0.08666810107414513
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,22.0,Kings Cross_diatance,306.0,Lincoln's Inn Fields West_distance,1584.0,Embankment Pier_diatance,2567.0,26642.0,0.0,0.0,0.0,0.0,0.0,0.0976320919263674
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,35.0,Euston_diatance,1356.0,The Regent's Park St. Andrew's Gate_distance,813.0,Embankment Pier_diatance,2011.0,10022.0,-2.020810096613097,0.0,-4.084501126126963,0.0,-2.5424355587006433,0.17080895940825225
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,43.0,Marylebone_diatance,1294.0,The Regent's Park Monkey Gate_distance,646.0,Embankment Pier_diatance,4437.0,5024.0,-3.6300380106558556,0.0,-5.565781958685851,0.0,-2.5799123908556467,0.18328285789312596
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,87.0,Paddington_diatance,1490.0,The Regent's Park Hanover Gate_distance,1245.0,Embankment Pier_diatance,4996.0,21137.0,-2.572839048540642,0.0,-4.49325803224649,0.0,-2.796410637964421,0.18474901348112238
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,33.0,Cannon Street_diatance,472.0,Geraldine Mary Harmsworth Park North_diatance,1413.0,Bankside Pier_diatance,156.0,9531.0,0.0,0.0,0.0,0.0,0.0,0.11707916229272505
"Park Street, Bankside",10,51.50597426,-0.092754157,15.0,Cannon Street_diatance,471.0,Geraldine Mary Harmsworth Park East_diatance,1439.0,Bankside Pier_diatance,418.0,9531.0,0.0,0.0,0.0,0.0,0.0,0.10568527357536663
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,52.0,St Pancras_diatance,865.0,Lincoln's Inn Fields West_distance,945.0,Embankment Pier_diatance,1889.0,30478.0,0.0,0.0,0.0,0.0,0.0,0.11952857722574954
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,24.0,Euston_diatance,830.0,Lincoln's Inn Fields West_distance,1074.0,Embankment Pier_diatance,1752.0,12381.0,0.0,0.0,0.0,0.0,0.0,0.15671082318461252
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,17.0,Euston_diatance,983.0,The Regent's Park St. Andrew's Gate_distance,913.0,Embankment Pier_diatance,1762.0,19918.0,0.0,0.0,-2.5425803511685117,0.0,0.0,0.1636152836990807
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,63.0,St Pancras_diatance,236.0,The Regent's Park Chester Gate_distance,1565.0,Embankment Pier_diatance,2559.0,20725.0,0.0,0.0,0.0,0.0,0.0,0.11959047135968211
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,30.0,Charing Cross_diatance,1184.0,Lincoln's Inn Fields West_distance,713.0,Embankment Pier_diatance,1278.0,5482.0,0.0,0.0,0.0,0.0,0.0,0.14616145653626983
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,20.0,St Pancras_diatance,561.0,Lincoln's Inn Fields West_distance,1285.0,Embankment Pier_diatance,2179.0,17800.0,0.0,0.0,0.0,0.0,0.0,0.1383963252113468
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,32.0,Blackfriars_diatance,1193.0,Lincoln's Inn Fields South_distance,833.0,Blackfriars Pier_diatance,1349.0,17909.0,0.0,0.0,0.0,0.0,0.0,0.13755852419373604
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,55.0,Charing Cross_diatance,811.0,Lincoln's Inn Fields West_distance,322.0,Embankment Pier_diatance,869.0,14982.0,0.0,0.0,0.0,0.0,0.0,0.12718546702516284
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087,41.0,Euston_diatance,467.0,The Regent's Park St. Andrew's Gate_distance,1022.0,Embankment Pier_diatance,2122.0,17263.0,0.0,0.0,0.0,0.0,0.0,0.15999567825111158
"Drummond Street , Euston",20,51.527326,-0.13605286,15.0,Euston_diatance,187.0,The Regent's Park Chester Gate_distance,685.0,Embankment Pier_diatance,2481.0,6943.0,0.0,0.0,-1.9936269157308832,0.0,0.0,0.168054107042324
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212,0.0,Liverpool Street_diatance,2715.0,Victoria Park St Agnes Gate_diatance,884.0,Tower Millennium Pier_diatance,3788.0,17789.0,0.0,0.0,0.0,0.0,0.0,0.08953205072346157
"Northington Street , Holborn",22,51.5222641,-0.114079481,30.0,Kings Cross_diatance,1295.0,Lincoln's Inn Fields South_distance,750.0,Blackfriars Pier_diatance,1582.0,17644.0,0.0,0.0,0.0,0.0,0.0,0.13395695529728913
"Red Lion Square, Holborn",23,51.51943538,-0.119123345,12.0,Charing Cross_diatance,1355.0,Lincoln's Inn Fields West_distance,397.0,Festival Pier_diatance,1386.0,5611.0,0.0,0.0,0.0,0.0,0.0,0.1199857673447596
"British Museum, Bloomsbury",24,51.51908011,-0.124678402,53.0,Euston_diatance,1267.0,Lincoln's Inn Fields West_distance,582.0,Embankment Pier_diatance,1365.0,5482.0,0.0,0.0,0.0,0.0,0.0,0.13381166009143933
"Doric Way , Somers Town",25,51.5288338,-0.132250369,29.0,Euston_diatance,156.0,The Regent's Park Chester Gate_distance,956.0,Embankment Pier_diatance,2545.0,13495.0,0.0,0.0,0.0,0.0,0.0,0.16196634819610237
"Ampton Street , Clerkenwell",26,51.52728093,-0.11829517,17.0,Kings Cross_diatance,666.0,Lincoln's Inn Fields West_distance,1262.0,Blackfriars Pier_diatance,2208.0,33409.0,0.0,0.0,0.0,0.0,0.0,0.09771957484113454
"Bouverie Street, Temple",27,51.51382102,-0.107927706,25.0,Blackfriars_diatance,421.0,Lincoln's Inn Fields South_distance,607.0,Blackfriars Pier_diatance,600.0,2733.0,0.0,0.0,0.0,0.0,0.0,0.15090686947799523
"Bolsover Street, Fitzrovia",28,51.52351808,-0.143613641,36.0,Euston_diatance,854.0,The Regent's Park St. Andrew's Gate_distance,259.0,Embankment Pier_diatance,2400.0,26160.0,0.0,0.0,-3.3781134704512987,0.0,-2.4395426499645274,0.17475398108329168
"Hereford Road, Bayswater",29,51.513735,-0.193487,51.0,Paddington_diatance,1207.0,Kensington Gardens Black Lion Gate_diatance,564.0,Cadogan Pier_diatance,3915.0,24552.0,0.0,0.0,-3.187998037869849,0.0,-2.9765511849727093,0.18625828663400246
"Windsor Terrace, Hoxton",30,51.52915444,-0.093421615,53.0,Liverpool Street_diatance,1428.0,Lincoln's Inn Fields South_distance,2177.0,Blackfriars Pier_diatance,2126.0,24596.0,0.0,0.0,0.0,0.0,0.0,0.06840499232646383
"Fanshaw Street, Hoxton",31,51.52953709,-0.083353323,47.0,Liverpool Street_diatance,1231.0,Victoria Park St Agnes Gate_diatance,2348.0,Blackfriars Pier_diatance,2430.0,17320.0,0.0,0.0,0.0,0.0,0.0,0.08995408519657563
"Leonard Circus , Shoreditch",32,51.52469624,-0.084439283,43.0,Liverpool Street_diatance,711.0,Lincoln's Inn Fields South_distance,2416.0,Blackfriars Pier_diatance,1938.0,6784.0,0.0,0.0,0.0,0.0,0.0,0.08704922978918567
"Pancras Road, King's Cross",34,51.5341235,-0.129386874,24.0,St Pancras_diatance,379.0,The Regent's Park Chester Gate_distance,1351.0,Embankment Pier_diatance,3069.0,6945.0,0.0,0.0,0.0,0.0,0.0,0.1535668661942695
"De Vere Gardens, Kensington",36,51.50173726,-0.184980612,45.0,Paddington_diatance,1797.0,Kensington Gardens Palace Gate_diatance,51.0,Cadogan Pier_diatance,2465.0,14798.0,0.0,0.0,-3.995292296612038,0.0,-3.3053118184272563,0.1909289469117392
"Penywern Road, Earl's Court",37,51.49159394,-0.192369256,70.0,Paddington_diatance,3032.0,Holland Park Ilchester Gate_diatance,1253.0,Cadogan Pier_diatance,2047.0,24684.0,0.0,0.0,-2.9175254446032457,0.0,-2.754586234903778,0.1872668060988636
"Abingdon Villas, Kensington",38,51.4973875,-0.197245586,34.0,Paddington_diatance,2605.0,Holland Park Ilchester Gate_diatance,541.0,Cadogan Pier_diatance,2681.0,14743.0,0.0,0.0,-2.8566743941498873,0.0,-2.718086467652304,0.18320039132389124
"Shoreditch High Street, Shoreditch",39,51.5263778,-0.078130921,91.0,Liverpool Street_diatance,914.0,Victoria Park St Agnes Gate_diatance,2168.0,Tower Millennium Pier_diatance,2125.0,13333.0,0.0,0.0,0.0,0.0,0.0,0.09243565780272969
"Commercial Street, Shoreditch",40,51.52127071,-0.0755789,32.0,Liverpool Street_diatance,535.0,Victoria Park Bonner Gate_diatance,2307.0,Tower Millennium Pier_diatance,1573.0,16990.0,0.0,0.0,0.0,0.0,0.0,0.08801479582999534
"Pindar Street, Liverpool Street",41,51.520955,-0.083493552,1.0,Liverpool Street_diatance,294.0,Lincoln's Inn Fields South_distance,2338.0,Tower Millennium Pier_diatance,1554.0,6784.0,0.0,0.0,0.0,0.0,0.0,0.08733009237345465
"Wenlock Road , Hoxton",42,51.53099181,-0.093903825,45.0,Liverpool Street_diatance,1618.0,Lincoln's Inn Fields South_distance,2300.0,Blackfriars Pier_diatance,2317.0,24596.0,0.0,0.0,0.0,0.0,0.0,0.0643580093857288
"Crawford Street, Marylebone",43,51.52026,-0.157183945,46.0,Marylebone_diatance,512.0,The Regent's Park Clarence Gate_distance,503.0,Embankment Pier_diatance,2887.0,23675.0,-3.9555579976566495,0.0,-6.285112167796313,0.0,-2.936380050357517,0.1781346818861538
"Bruton Street, Mayfair",44,51.51073687,-0.144165239,17.0,Charing Cross_diatance,1502.0,Green Park Devonshire Gates_diatance,567.0,Embankment Pier_diatance,1634.0,2938.0,-2.4582623351339237,0.0,-4.841670227311422,0.0,-2.23382428168231,0.16420927755817852
"Boston Place, Marylebone",45,51.522511,-0.162298,17.0,Marylebone_diatance,82.0,The Regent's Park Clarence Gate_distance,375.0,Embankment Pier_diatance,3319.0,20491.0,-4.487530500343961,0.0,-6.414359977735207,0.0,-2.8588120080310513,0.1799162459788552
"Nesham Street, Wapping",46,51.507131,-0.06691,34.0,Fenchurch Street_diatance,920.0,Mile End Park Football Pitch_diatance,2560.0,Tower Bridge Quay_diatance,475.0,7364.0,0.0,0.0,0.0,0.0,0.0,0.05990607698977056
"Warwick Avenue Station, Maida Vale",47,51.52334476,-0.183846408,74.0,Paddington_diatance,844.0,The Regent's Park Hanover Gate_distance,1379.0,Cadogan Pier_diatance,4664.0,13908.0,-2.152306901586005,0.0,-4.389723191217548,0.0,-2.9375640620693697,0.18574713384959884
"Godliman Street, St. Paul's",48,51.51248445,-0.099141408,22.0,Blackfriars_diatance,285.0,Lincoln's Inn Fields South_distance,1231.0,Blackfriars Pier_diatance,242.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.12305434835453198
"Curzon Street, Mayfair",49,51.50706909,-0.145904427,22.0,Victoria_diatance,1167.0,Green Park Devonshire Gates_diatance,180.0,Westminster Pier_diatance,1683.0,4530.0,-2.9175390818731013,0.0,-5.420478786810182,0.0,-2.0686556579243796,0.16128114976728625
"East Road, Hoxton",50,51.52867339,-0.087459376,29.0,Liverpool Street_diatance,1195.0,Lincoln's Inn Fields South_distance,2460.0,Blackfriars Pier_diatance,2214.0,52750.0,0.0,0.0,0.0,0.0,0.0,0.08052584708267861
"Finsbury Library , Finsbury",51,51.52671796,-0.104298194,27.0,Kings Cross_diatance,1458.0,Lincoln's Inn Fields South_distance,1481.0,Blackfriars Pier_diatance,1805.0,30164.0,0.0,0.0,0.0,0.0,0.0,0.10699883907731984
"Roscoe Street, St. Luke's",52,51.52295439,-0.094934859,64.0,Liverpool Street_diatance,1029.0,Lincoln's Inn Fields South_distance,1680.0,Blackfriars Pier_diatance,1433.0,19126.0,0.0,0.0,0.0,0.0,0.0,0.08731979890784035
"Grafton Street, Mayfair",53,51.5099923,-0.143495266,12.0,Charing Cross_diatance,1438.0,Green Park Devonshire Gates_diatance,490.0,Embankment Pier_diatance,1570.0,2938.0,-2.3930030495780774,0.0,-4.74677410439412,0.0,-2.1348099073463973,0.1628077960087091
"Golden Lane, Barbican",54,51.52174785,-0.094475072,5.0,Liverpool Street_diatance,942.0,Lincoln's Inn Fields South_distance,1649.0,Blackfriars Pier_diatance,1316.0,32149.0,0.0,0.0,0.0,0.0,0.0,0.08999875905331026
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542,28.0,Liverpool Street_diatance,367.0,Lincoln's Inn Fields South_distance,2048.0,London Bridge City Pier_diatance,1137.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.08336144758958157
"Paddington Street, Marylebone",56,51.52058381,-0.154701411,29.0,Marylebone_diatance,639.0,The Regent's Park York Gate_distance,461.0,Embankment Pier_diatance,2760.0,23675.0,-3.4041766695335105,0.0,-5.878179235998893,0.0,-2.9242708442332384,0.17784150069462162
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614,33.0,St Pancras_diatance,984.0,Lincoln's Inn Fields West_distance,839.0,Embankment Pier_diatance,1822.0,23833.0,0.0,0.0,0.0,0.0,0.0,0.10715540632897823
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081,33.0,Liverpool Street_diatance,695.0,Victoria Park Bonner Gate_diatance,2334.0,Tower Millennium Pier_diatance,1919.0,6784.0,0.0,0.0,0.0,0.0,0.0,0.09265225291868816
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727,11.0,Marylebone_diatance,737.0,The Regent's Park Hanover Gate_distance,502.0,Embankment Pier_diatance,4132.0,27036.0,-4.243401386254151,0.0,-5.845783461041064,0.0,-2.7535573581964328,0.18244248229983528
"Great Dover Street, The Borough",61,51.49738251,-0.089446947,60.0,London Bridge_diatance,930.0,Geraldine Mary Harmsworth Park East_diatance,1159.0,London Bridge City Pier_diatance,1112.0,36858.0,0.0,0.0,0.0,0.0,0.0,0.09523518465883925
"Cotton Garden Estate, Kennington",62,51.4907579,-0.106323685,33.0,Vauxhall_diatance,1268.0,Geraldine Mary Harmsworth Park East_diatance,586.0,Millbank Millennium Pier_diatance,1277.0,19750.0,0.0,0.0,0.0,0.0,0.0,0.10971243146498619
"Murray Grove , Hoxton",63,51.53089041,-0.089782579,35.0,Liverpool Street_diatance,1482.0,Lincoln's Inn Fields South_distance,2492.0,Blackfriars Pier_diatance,2383.0,24596.0,0.0,0.0,0.0,0.0,0.0,0.0730687849467071
"William IV Street, Strand",64,51.50946212,-0.124749274,51.0,Charing Cross_diatance,246.0,St. James's Park Waterloo Place Gate_distance,621.0,Embankment Pier_diatance,363.0,5614.0,0.0,0.0,0.0,0.0,0.0,0.1353302965828664
"Gower Place , Euston",65,51.52522753,-0.13518856,0.0,Euston_diatance,389.0,The Regent's Park St. Andrew's Gate_distance,743.0,Embankment Pier_diatance,2244.0,11192.0,0.0,0.0,-2.0323987821557643,0.0,0.0,0.16608075846770198
"Holborn Circus, Holborn",66,51.51795029,-0.108657431,24.0,Blackfriars_diatance,807.0,Lincoln's Inn Fields South_distance,581.0,Blackfriars Pier_diatance,974.0,31587.0,0.0,0.0,0.0,0.0,0.0,0.14682277987255862
"Hatton Garden, Holborn",67,51.51882555,-0.108028472,24.0,Blackfriars_diatance,876.0,Lincoln's Inn Fields South_distance,666.0,Blackfriars Pier_diatance,1036.0,17909.0,0.0,0.0,0.0,0.0,0.0,0.14346966630076186
"Theobald's Road , Holborn",68,51.52059681,-0.116688468,20.0,St Pancras_diatance,1366.0,Lincoln's Inn Fields West_distance,526.0,Festival Pier_diatance,1514.0,5611.0,0.0,0.0,0.0,0.0,0.0,0.12664422969139538
"Euston Road, Euston",69,51.5262363,-0.134407652,25.0,Euston_diatance,274.0,The Regent's Park St. Andrew's Gate_distance,803.0,Embankment Pier_diatance,2325.0,6943.0,0.0,0.0,0.0,0.0,0.0,0.16510899987892155
"Calshot Street , King's Cross",70,51.53136059,-0.117069978,20.0,Kings Cross_diatance,446.0,Lincoln's Inn Fields West_distance,1716.0,Blackfriars Pier_diatance,2562.0,18269.0,0.0,0.0,0.0,0.0,0.0,0.09078642735486396
"Newgate Street , St. Paul's",71,51.5154186,-0.098850915,35.0,Blackfriars_diatance,513.0,Lincoln's Inn Fields South_distance,1200.0,Blackfriars Pier_diatance,553.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.11957445790323241
"Farringdon Lane, Clerkenwell",72,51.52352001,-0.108340165,21.0,Blackfriars_diatance,1376.0,Lincoln's Inn Fields South_distance,1030.0,Blackfriars Pier_diatance,1523.0,10379.0,0.0,0.0,0.0,0.0,0.0,0.12877677203848759
"Old Street Station, St. Luke's",73,51.52548,-0.089659871,27.0,Liverpool Street_diatance,944.0,Lincoln's Inn Fields South_distance,2137.0,Blackfriars Pier_diatance,1828.0,7965.0,0.0,0.0,0.0,0.0,0.0,0.07792376504945785
"Vauxhall Cross, Vauxhall",74,51.48591714,-0.124469948,88.0,Vauxhall_diatance,109.0,Geraldine Mary Harmsworth Park West_diatance,1433.0,St. George Wharf_diatance,198.0,48800.0,0.0,0.0,0.0,0.0,0.0,0.13066885685895302
"Torrens Street, Angel",75,51.53219984,-0.105480698,11.0,Kings Cross_diatance,1233.0,Lincoln's Inn Fields South_distance,1984.0,Blackfriars Pier_diatance,2420.0,18101.0,0.0,0.0,0.0,0.0,0.0,0.08485964886932312
"Longford Street, The Regent's Park",76,51.52559505,-0.144083893,38.0,Euston_diatance,748.0,The Regent's Park St. Andrew's Gate_distance,130.0,Embankment Pier_diatance,2601.0,4780.0,0.0,0.0,-3.2288801951449386,0.0,-2.4026244618522807,0.17613398591706725
"Russell Square Station, Bloomsbury",77,51.52341837,-0.124121774,32.0,St Pancras_diatance,898.0,Lincoln's Inn Fields West_distance,935.0,Embankment Pier_diatance,1838.0,30478.0,0.0,0.0,0.0,0.0,0.0,0.12866062172445245
"Sadlers Sports Centre, Finsbury",78,51.52486887,-0.099489485,31.0,Liverpool Street_diatance,1408.0,Lincoln's Inn Fields South_distance,1545.0,Blackfriars Pier_diatance,1588.0,32680.0,0.0,0.0,0.0,0.0,0.0,0.10144259649081339
"Arundel Street, Temple",79,51.511726,-0.11385596,18.0,Blackfriars_diatance,751.0,Lincoln's Inn Fields South_distance,465.0,Festival Pier_diatance,592.0,2977.0,-2.0626839862970803,0.0,0.0,0.0,0.0,0.15034783053155687
"Webber Street , Southwark",80,51.50069361,-0.102091246,40.0,Waterloo East_diatance,671.0,Geraldine Mary Harmsworth Park East_diatance,587.0,Bankside Pier_diatance,970.0,11382.0,0.0,0.0,0.0,0.0,0.0,0.1265679332490263
"Great Titchfield Street, Fitzrovia",81,51.52025302,-0.141327271,36.0,Euston_diatance,1051.0,The Regent's Park St. Andrew's Gate_distance,650.0,Embankment Pier_diatance,2023.0,10022.0,0.0,0.0,-3.368924802687353,0.0,-2.332160201034533,0.17116771785158358
"Chancery Lane, Holborn",82,51.514274,-0.111257,18.0,Blackfriars_diatance,644.0,Lincoln's Inn Fields South_distance,374.0,Blackfriars Pier_diatance,821.0,2977.0,0.0,0.0,0.0,0.0,0.0,0.15246438391296047
"Panton Street, West End",83,51.50963938,-0.131510949,132.0,Charing Cross_diatance,629.0,St. James's Park Waterloo Place Gate_distance,450.0,Embankment Pier_diatance,764.0,5614.0,0.0,0.0,-2.3383635829278484,0.0,0.0,0.14977791186379327
"Breams Buildings, Holborn",84,51.51593725,-0.111778348,6.0,Blackfriars_diatance,776.0,Lincoln's Inn Fields South_distance,307.0,Blackfriars Pier_diatance,955.0,2733.0,0.0,0.0,0.0,0.0,0.0,0.1514167647597881
"Tanner Street, Bermondsey",85,51.50064702,-0.078600401,72.0,London Bridge_diatance,686.0,Geraldine Mary Harmsworth Park East_diatance,1968.0,Tower Bridge Quay_diatance,689.0,14036.0,0.0,0.0,0.0,0.0,0.0,0.08301350400552766
"Sancroft Street, Vauxhall",86,51.48947903,-0.115156562,20.0,Vauxhall_diatance,668.0,Geraldine Mary Harmsworth Park West_diatance,743.0,Millbank Millennium Pier_diatance,708.0,19457.0,0.0,0.0,0.0,0.0,0.0,0.11306167090959802
"Devonshire Square, Liverpool Street",87,51.51646835,-0.079684557,7.0,Liverpool Street_diatance,273.0,Lincoln's Inn Fields South_distance,2528.0,Tower Millennium Pier_diatance,1024.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0906804957329163
"Bayley Street , Bloomsbury",88,51.51858757,-0.132053392,53.0,Euston_diatance,1137.0,Lincoln's Inn Fields West_distance,1019.0,Embankment Pier_diatance,1489.0,12381.0,0.0,0.0,-2.0109695877619456,0.0,0.0,0.15759220890745748
"Tavistock Place, Bloomsbury",89,51.5262503,-0.123509611,45.0,St Pancras_diatance,600.0,Lincoln's Inn Fields West_distance,1210.0,Embankment Pier_diatance,2148.0,19753.0,0.0,0.0,0.0,0.0,0.0,0.12091132410248076
